,price,rent_price,area_m2,room_number,year,floor_number,features
80,859000.0,,37.42,2.0,2021.0,floor_2,"['telewizja kablowa', 'internet', 'telefon', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'klimatyzacja', 'balkon', 'winda']"
81,599000.0,260.0,50.0,2.0,1930.0,floor_4,"['telewizja kablowa', 'internet', 'domofon / wideofon', 'lodówka', 'meble', 'kuchenka', 'telewizor', 'pralka', 'piwnica']"
82,639000.0,650.0,66.2,3.0,2010.0,floor_2,"['domofon / wideofon', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'balkon', 'garaż/miejsce parkingowe', 'pom. użytkowe']"
83,750000.0,,82.6,3.0,,ground_floor,[]
84,,,53.42,3.0,2023.0,ground_floor,"['garaż/miejsce parkingowe', 'taras', 'ogródek', 'winda']"
85,390000.0,550.0,38.0,2.0,1973.0,floor_10,"['telewizja kablowa', 'internet', 'telefon', 'monitoring / ochrona', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'balkon', 'piwnica', 'winda', 'oddzielna kuchnia']"
86,750000.0,,82.6,3.0,2000.0,ground_floor,[]
87,,,122.35,5.0,2022.0,floor_1,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
88,512000.0,,54.9,2.0,2023.0,ground_floor,"['taras', 'ogródek']"
89,640458.0,,54.74,2.0,2023.0,ground_floor,"['garaż/miejsce parkingowe', 'ogródek', 'winda']"
90,580000.0,,60.65,3.0,2021.0,ground_floor,"['internet', 'system alarmowy', 'domofon / wideofon', 'balkon', 'piwnica', 'garaż/miejsce parkingowe']"
91,379000.0,,70.0,3.0,2023.0,,"['monitoring / ochrona', 'lodówka', 'kuchenka', 'pralka', 'balkon', 'taras']"
92,199000.0,,55.0,3.0,,floor_1,[]
